Day,Hour,Minute,DHI,DNI,WS,RH,T,TARGET
3,4,30,0,0,2.2,72.77,-12,0.0
3,5,0,0,0,2.2,72.63,-12,0.0
3,5,30,0,0,2.0,66.98,-11,0.0
3,6,0,0,0,1.9,67.97,-11,0.0
3,6,30,0,0,1.8,67.99,-11,0.0
3,7,0,0,0,1.8,69.47,-11,0.0
3,7,30,0,0,2.1,59.16,-9,0.0
3,8,0,34,112,2.4,65.0,-8,4.129669654
3,8,30,65,160,2.6,55.59,-6,8.728428115
3,9,0,88,320,2.9,58.76,-5,15.57960371
3,9,30,129,183,2.7,54.46,-3,17.45628072
3,10,0,150,279,2.6,58.11,-2,23.556335
3,10,30,159,29,2.8,50.07,-1,16.04816342
3,11,0,190,298,3.0,52.79,0,29.93747292
3,11,30,211,210,3.2,49.08,0,28.81129839
3,12,0,114,0,3.5,54.63,0,10.69865804
3,12,30,152,6,3.5,54.64,0,14.54642101
3,13,0,189,48,3.6,57.39,1,19.70783769
3,13,30,83,0,3.4,57.4,0,7.789373832999999
3,14,0,61,911,3.2,59.01,0,38.00839039
3,14,30,105,492,2.8,59.03,0,24.96353542
3,15,0,111,167,2.5,65.15,0,14.64026889
3,15,30,27,0,2.3,70.12,0,2.5338926930000003
3,16,0,15,0,2.2,65.74,-1,1.407733633
3,16,30,4,0,2.2,65.75,-1,0.37539563600000003
3,17,0,0,0,2.2,64.36,-2,0.0
3,17,30,0,0,2.0,64.38,-2,0.0
3,18,0,0,0,1.9,66.96,-3,0.0
3,18,30,0,0,1.7,66.99,-3,0.0
3,19,0,0,0,1.5,65.33,-4,0.0
3,19,30,0,0,1.4,65.34,-4,0.0
3,20,0,0,0,1.3,69.09,-4,0.0
3,20,30,0,0,1.4,69.07,-4,0.0
3,21,0,0,0,1.5,67.65,-5,0.0
3,21,30,0,0,1.7,67.61,-5,0.0
3,22,0,0,0,1.9,71.88,-5,0.0
3,22,30,0,0,2.0,71.85,-5,0.0
3,23,0,0,0,2.1,72.17,-5,0.0
3,23,30,0,0,2.1,72.18,-5,0.0
4,0,0,0,0,2.1,72.1,-5,0.0
4,0,30,0,0,2.0,72.1,-5,0.0
4,1,0,0,0,2.0,72.14,-5,0.0
4,1,30,0,0,2.0,72.11,-5,0.0
4,2,0,0,0,2.0,72.94,-5,0.0
4,2,30,0,0,2.0,72.92,-5,0.0
4,3,0,0,0,2.0,74.04,-5,0.0
4,3,30,0,0,2.0,68.57,-5,0.0
4,4,0,0,0,2.0,70.64,-5,0.0
4,4,30,0,0,2.1,70.63,-4,0.0
4,5,0,0,0,2.3,73.87,-4,0.0
4,5,30,0,0,2.5,68.44,-3,0.0
4,6,0,0,0,2.8,72.33,-3,0.0
4,6,30,0,0,3.2,67.06,-2,0.0
4,7,0,0,0,3.6,72.48,-2,0.0
4,7,30,0,0,3.8,67.26,-1,0.0
4,8,0,33,166,4.1,71.83,0,4.50469812
4,8,30,63,220,4.5,66.72,1,9.478531459
4,9,0,44,0,4.9,73.36,2,4.1292158489999995
4,9,30,83,0,5.7,68.23,3,7.78911702
4,10,0,97,0,6.6,65.55,4,9.102843944
4,10,30,129,0,7.0,65.53,4,12.10584401
4,11,0,202,149,7.4,64.54,5,25.05600641
4,11,30,173,20,7.7,64.51,5,17.07937515
4,12,0,218,123,8.0,67.17,6,25.80646454
4,12,30,198,48,7.8,67.18,6,20.64517164
4,13,0,179,31,7.7,69.26,6,18.11144603
4,13,30,191,183,7.5,69.29,5,25.14984913
4,14,0,153,36,7.3,69.79,5,15.67173434
4,14,30,142,100,7.1,74.91,5,16.42247611
4,15,0,96,4,6.9,74.5,5,9.196586621
4,15,30,68,0,6.4,80.02,4,6.381375136
4,16,0,38,0,6.0,78.19,4,3.566062576
4,16,30,11,0,5.4,78.22,3,1.032292617
4,17,0,0,0,4.9,76.52,3,0.0
4,17,30,0,0,4.6,82.24,3,0.0
4,18,0,0,0,4.3,80.88,3,0.0
4,18,30,0,0,3.7,80.93,3,0.0
4,19,0,0,0,3.2,74.19,3,0.0
4,19,30,0,0,2.6,79.75,3,0.0
4,20,0,0,0,2.1,78.5,3,0.0
4,20,30,0,0,1.8,78.55,2,0.0
4,21,0,0,0,1.5,76.9,2,0.0
4,21,30,0,0,1.4,82.7,2,0.0
4,22,0,0,0,1.3,81.7,2,0.0
4,22,30,0,0,1.3,81.73,1,0.0
4,23,0,0,0,1.3,79.15,1,0.0
4,23,30,0,0,1.4,79.16,1,0.0
5,0,0,0,0,1.5,77.41,1,0.0
5,0,30,0,0,1.7,77.42,1,0.0
5,1,0,0,0,1.9,76.77,1,0.0
5,1,30,0,0,2.0,76.77,1,0.0
5,2,0,0,0,2.2,76.39,1,0.0
5,2,30,0,0,2.2,76.37,0,0.0
5,3,0,0,0,2.3,76.21,0,0.0
5,3,30,0,0,2.4,76.2,0,0.0
5,4,0,0,0,2.5,81.63,0,0.0
5,4,30,0,0,2.6,81.64,0,0.0
5,5,0,0,0,2.7,81.49,0,0.0
5,5,30,0,0,2.6,81.51,0,0.0
5,6,0,0,0,2.6,81.8,0,0.0
5,6,30,0,0,2.6,81.8,0,0.0
5,7,0,0,0,2.6,82.95,0,0.0
5,7,30,0,0,2.8,77.14,1,0.0
5,8,0,31,266,3.0,79.24,2,5.255365626000001
5,8,30,55,366,3.1,73.76,3,11.07368444
5,9,0,98,190,3.2,76.11,5,13.51335177
5,9,30,113,363,3.3,70.93,6,21.11438008
5,10,0,131,422,3.4,70.36,7,26.65074684
5,10,30,157,398,3.3,65.62,8,29.84100123
5,11,0,102,700,3.3,63.78,9,38.37998541
5,11,30,105,722,3.3,63.76,9,40.91362747
5,12,0,102,744,3.4,60.36,9,42.22736781
5,12,30,101,742,3.3,60.34,9,41.85201343
5,13,0,113,673,3.2,61.57,9,38.94301698
5,13,30,127,576,2.9,65.92,8,34.62682218
5,14,0,131,479,2.6,69.22,8,29.55948235
5,14,30,121,395,2.3,79.48,7,23.74168644
5,15,0,101,325,2.0,80.75,6,17.82992096
5,15,30,77,235,1.9,93.04,4,11.730469
5,16,0,48,177,1.9,89.3,3,6.66297962
5,16,30,22,0,2.0,96.02,2,2.064607925
5,17,0,0,0,2.1,90.05,1,0.0
5,17,30,0,0,2.3,90.08,1,0.0
5,18,0,0,0,2.5,87.11,1,0.0
5,18,30,0,0,2.7,87.12,1,0.0
5,19,0,0,0,3.0,84.3,1,0.0
5,19,30,0,0,3.0,84.31,1,0.0
5,20,0,0,0,3.0,81.26,1,0.0
5,20,30,0,0,2.8,81.26,0,0.0
5,21,0,0,0,2.7,78.27,0,0.0
5,21,30,0,0,2.3,78.28,0,0.0
5,22,0,0,0,2.0,82.04,0,0.0
5,22,30,0,0,1.5,88.34,0,0.0
5,23,0,0,0,1.1,92.08,-1,0.0
5,23,30,0,0,1.5,92.11,-1,0.0
6,0,0,0,0,1.9,86.51,-2,0.0
6,0,30,0,0,1.8,86.54,-2,0.0
6,1,0,0,0,1.7,85.72,-3,0.0
6,1,30,0,0,1.4,85.73,-3,0.0
6,2,0,0,0,1.1,87.04,-4,0.0
6,2,30,0,0,1.0,87.04,-4,0.0
6,3,0,0,0,0.9,90.47,-4,0.0
6,3,30,0,0,0.9,90.47,-4,0.0
6,4,0,0,0,0.9,87.82,-4,0.0
6,4,30,0,0,0.9,87.84,-4,0.0
6,5,0,0,0,0.9,84.25,-5,0.0
6,5,30,0,0,1.0,84.29,-5,0.0
6,6,0,0,0,1.1,86.59,-5,0.0
6,6,30,0,0,1.2,86.63,-5,0.0
6,7,0,0,0,1.3,80.3,-6,0.0
6,7,30,0,0,1.4,80.34,-5,0.0
6,8,0,8,0,1.5,78.68,-5,0.750824275
6,8,30,17,0,1.5,72.89,-4,1.595484051
6,9,0,52,0,1.5,71.79,-3,4.880250525
6,9,30,40,0,1.3,66.56,-2,3.75399761
6,10,0,58,0,1.1,66.1,-1,5.443236715
6,10,30,90,0,1.0,61.34,0,8.446308975
6,11,0,131,0,1.0,61.84,0,12.29407195
6,11,30,172,18,0.9,57.45,1,16.8924323
6,12,0,201,48,0.9,61.08,2,20.92761669
6,12,30,218,129,0.9,61.03,2,26.0891365
6,13,0,208,110,0.9,59.5,3,24.11810933
6,13,30,194,148,0.9,59.47,3,24.11810933
6,14,0,156,338,0.9,57.81,3,26.83960805
6,14,30,59,872,0.9,62.08,2,33.03372679
6,15,0,52,823,1.0,66.16,2,26.18298232
6,15,30,44,744,1.0,71.09,1,18.67552238
6,16,0,33,619,1.0,71.55,0,10.79250591
6,16,30,37,0,1.2,76.97,-1,3.4724096280000003
6,17,0,0,0,1.5,83.65,-2,0.0
6,17,30,0,0,1.8,77.6,-2,0.0
6,18,0,0,0,2.2,77.56,-2,0.0
6,18,30,0,0,2.6,77.52,-1,0.0
6,19,0,0,0,3.0,76.69,-1,0.0
6,19,30,0,0,3.1,71.18,-1,0.0
6,20,0,0,0,3.2,67.68,-1,0.0
6,20,30,0,0,3.1,67.64,0,0.0
6,21,0,0,0,3.0,63.64,0,0.0
6,21,30,0,0,3.1,63.6,0,0.0
6,22,0,0,0,3.2,61.12,0,0.0
6,22,30,0,0,3.4,56.75,0,0.0
6,23,0,0,0,3.7,56.9,0,0.0
6,23,30,0,0,3.9,52.87,0,0.0
7,0,0,0,0,4.1,55.67,1,0.0
7,0,30,0,0,4.4,55.65,1,0.0
7,1,0,0,0,4.7,59.43,1,0.0
7,1,30,0,0,4.8,59.41,1,0.0
7,2,0,0,0,4.9,62.72,2,0.0
7,2,30,0,0,4.8,62.69,2,0.0
7,3,0,0,0,4.7,64.27,2,0.0
7,3,30,0,0,4.5,64.25,1,0.0
7,4,0,0,0,4.4,64.11,1,0.0
7,4,30,0,0,4.2,64.11,1,0.0
7,5,0,0,0,4.1,63.79,1,0.0
7,5,30,0,0,4.0,63.8,1,0.0
7,6,0,0,0,4.0,63.77,1,0.0
7,6,30,0,0,4.1,63.78,1,0.0
7,7,0,0,0,4.2,64.31,1,0.0
7,7,30,0,0,4.4,64.32,2,0.0
7,8,0,24,563,4.6,64.53,3,7.319893102999999
7,8,30,36,726,4.3,60.07,4,15.20268782
7,9,0,44,821,4.0,61.91,5,23.08530927
7,9,30,50,880,3.4,57.71,6,30.31086563
7,10,0,56,917,2.8,57.91,7,36.59785657
7,10,30,60,943,2.6,54.02,7,41.75909275
7,11,0,66,955,2.5,51.6,8,45.60605848
7,11,30,67,965,2.4,51.58,8,48.13972839
7,12,0,68,969,2.3,53.15,8,49.26580391
7,12,30,68,967,2.3,56.92,8,48.89044541
7,13,0,67,959,2.3,58.65,8,47.01365288
7,13,30,65,945,2.3,62.87,7,43.82358723
7,14,0,61,922,2.3,64.42,7,39.22539499
7,14,30,57,888,2.0,69.1,6,33.50148306
7,15,0,52,832,1.8,77.38,5,26.65133266
7,15,30,44,753,1.7,89.29,3,19.05049103
7,16,0,34,612,1.7,85.85,1,10.980081
7,16,30,19,378,1.7,92.39,0,3.660067223
7,17,0,0,0,1.7,92.17,-1,0.0
7,17,30,0,0,1.5,92.2,-1,0.0
7,18,0,0,0,1.3,97.2,-2,0.0
7,18,30,0,0,1.3,97.21,-2,0.0
7,19,0,0,0,1.3,100.0,-2,0.0
7,19,30,0,0,1.4,100.0,-2,0.0
7,20,0,0,0,1.6,100.0,-3,0.0
7,20,30,0,0,1.8,100.0,-3,0.0
7,21,0,0,0,2.0,98.06,-4,0.0
7,21,30,0,0,2.1,98.07,-4,0.0
7,22,0,0,0,2.3,94.25,-5,0.0
7,22,30,0,0,2.4,94.26,-5,0.0
7,23,0,0,0,2.6,91.72,-6,0.0
7,23,30,0,0,2.5,91.74,-6,0.0
8,0,0,0,0,2.5,84.72,-7,0.0
8,0,30,0,0,2.3,84.72,-7,0.0
8,1,0,0,0,2.2,87.32,-7,0.0
8,1,30,0,0,1.9,87.32,-7,0.0
8,2,0,0,0,1.7,84.66,-7,0.0
8,2,30,0,0,1.4,84.63,-7,0.0
8,3,0,0,0,1.2,83.5,-7,0.0
8,3,30,0,0,1.2,83.47,-7,0.0
8,4,0,0,0,1.3,83.38,-7,0.0
8,4,30,0,0,1.4,77.11,-7,0.0
8,5,0,0,0,1.6,78.38,-7,0.0
8,5,30,0,0,1.5,78.37,-7,0.0
8,6,0,0,0,1.4,78.88,-7,0.0
8,6,30,0,0,1.5,78.88,-6,0.0
8,7,0,0,0,1.6,79.35,-6,0.0
8,7,30,0,0,1.8,73.46,-5,0.0
8,8,0,29,488,2.0,74.67,-4,7.132752227999999
8,8,30,44,664,1.6,64.19,-2,15.01599044
8,9,0,86,0,1.2,64.85,0,8.070917465
8,9,30,123,35,0.8,60.24,0,12.57561559
8,10,0,159,88,0.5,61.21,1,17.92474761
8,10,30,182,84,0.9,61.18,2,20.27069599
8,11,0,205,167,1.3,59.62,3,26.27653935
8,11,30,213,246,1.4,59.58,3,30.68724416
8,12,0,224,164,1.5,57.61,3,28.34112458
8,12,30,221,198,1.5,57.59,3,29.46726198
8,13,0,205,269,1.5,59.47,4,30.78075066
8,13,30,79,912,1.4,59.47,4,44.10656344
8,14,0,75,886,1.3,61.04,4,39.41437584
8,14,30,69,848,1.2,65.56,3,33.59643245
8,15,0,60,799,1.1,74.06,2,26.7460572
8,15,30,50,717,0.9,74.05,1,19.14475661
8,16,0,37,593,0.8,73.74,0,11.16789742
8,16,30,20,358,1.0,79.35,-1,3.847805264
8,17,0,0,0,1.2,80.99,-2,0.0
8,17,30,0,0,1.3,80.97,-2,0.0
8,18,0,0,0,1.5,85.9,-2,0.0
8,18,30,0,0,1.8,85.87,-2,0.0
8,19,0,0,0,2.1,84.91,-2,0.0
8,19,30,0,0,2.4,84.89,-2,0.0
8,20,0,0,0,2.8,83.25,-2,0.0
8,20,30,0,0,3.0,83.23,-2,0.0
8,21,0,0,0,3.2,81.18,-2,0.0
8,21,30,0,0,3.3,81.15,-2,0.0
8,22,0,0,0,3.5,79.4,-2,0.0
8,22,30,0,0,3.5,79.37,-2,0.0
8,23,0,0,0,3.6,78.04,-2,0.0
8,23,30,0,0,3.7,78.03,-2,0.0
9,0,0,0,0,3.8,77.35,-2,0.0
9,0,30,0,0,3.8,71.78,-2,0.0
9,1,0,0,0,3.9,72.77,-2,0.0
9,1,30,0,0,3.8,67.56,-1,0.0
9,2,0,0,0,3.8,70.45,-1,0.0
9,2,30,0,0,3.6,70.43,0,0.0
9,3,0,0,0,3.5,74.45,0,0.0
9,3,30,0,0,3.4,69.17,0,0.0
9,4,0,0,0,3.3,72.06,0,0.0
9,4,30,0,0,3.2,72.06,0,0.0
9,5,0,0,0,3.2,73.64,0,0.0
9,5,30,0,0,3.2,73.64,0,0.0
9,6,0,0,0,3.2,74.25,0,0.0
9,6,30,0,0,3.1,74.26,0,0.0
9,7,0,0,0,3.0,74.36,0,0.0
9,7,30,0,0,3.0,69.16,1,0.0
9,8,0,36,171,3.1,72.41,2,4.879982367
9,8,30,61,279,3.2,67.39,3,10.32292617
9,9,0,88,347,3.4,69.5,4,16.32881285
9,9,30,81,601,3.6,64.73,5,25.14984913
9,10,0,88,657,3.8,58.35,7,30.87357644
9,10,30,78,770,3.7,58.33,7,37.06705986
9,11,0,107,693,3.6,54.31,8,38.943445000000004
9,11,30,107,725,3.3,54.29,8,41.75863379
9,12,0,105,745,3.1,49.85,9,43.16575376
9,12,30,84,936,2.8,49.84,9,49.35910104
9,13,0,82,927,2.5,50.31,9,47.57616773
9,13,30,79,910,2.1,53.89,8,44.19846408
9,14,0,72,894,1.7,57.56,8,39.69416201
9,14,30,66,856,1.2,61.69,6,33.87684982
9,15,0,59,800,0.8,69.67,5,26.93286082
9,15,30,50,718,0.6,80.26,4,19.33181291
9,16,0,38,582,0.5,74.1,3,11.26137401
9,16,30,21,351,0.4,79.65,1,3.941567537
9,17,0,0,0,0.3,75.37,0,0.0
9,17,30,0,0,0.6,81.06,0,0.0
9,18,0,0,0,1.0,84.38,0,0.0
9,18,30,0,0,1.2,84.37,0,0.0
9,19,0,0,0,1.4,81.49,-1,0.0
9,19,30,0,0,1.5,81.48,-1,0.0
9,20,0,0,0,1.7,78.5,-1,0.0
9,20,30,0,0,1.8,78.48,-1,0.0
9,21,0,0,0,1.9,75.62,-1,0.0
9,21,30,0,0,2.0,75.6,-1,0.0
9,22,0,0,0,2.1,73.52,-1,0.0
9,22,30,0,0,2.2,73.5,-1,0.0
9,23,0,0,0,2.3,77.92,-1,0.0
9,23,30,0,0,2.3,77.91,-1,0.0
10,0,0,0,0,2.4,77.31,-1,0.0
10,0,30,0,0,2.3,77.31,-1,0.0
10,1,0,0,0,2.2,76.93,-1,0.0
10,1,30,0,0,2.1,76.92,-1,0.0
10,2,0,0,0,2.0,76.84,-1,0.0
10,2,30,0,0,1.9,76.83,-1,0.0
10,3,0,0,0,1.9,76.97,-1,0.0
10,3,30,0,0,1.8,76.96,-1,0.0
10,4,0,0,0,1.8,77.16,-1,0.0
10,4,30,0,0,1.7,77.16,-1,0.0
10,5,0,0,0,1.7,77.87,-1,0.0
10,5,30,0,0,1.7,72.31,0,0.0
10,6,0,0,0,1.7,74.56,0,0.0
10,6,30,0,0,1.6,69.29,0,0.0
10,7,0,0,0,1.6,72.59,0,0.0
10,7,30,0,0,1.5,67.52,0,0.0
10,8,0,5,0,1.5,75.6,1,0.469234231
10,8,30,12,0,1.6,75.63,2,1.126149777
10,9,0,62,0,1.8,77.28,3,5.818376569
10,9,30,70,0,1.5,77.29,3,6.569134836
10,10,0,141,22,1.3,75.37,4,14.0765628
10,10,30,126,0,1.7,75.36,4,11.82431275
10,11,0,138,576,2.1,74.64,4,37.06828204
10,11,30,132,630,2.2,80.12,4,40.16512586
10,12,0,142,608,2.4,81.45,4,40.63434462
10,12,30,218,264,2.3,81.46,4,32.18840694
10,13,0,93,0,2.3,80.33,4,8.727468936000001
10,13,30,94,0,2.2,80.36,3,8.821409637
10,14,0,90,0,2.2,78.78,3,8.446030504
10,14,30,104,0,1.9,84.67,2,9.759964734
10,15,0,120,188,1.7,92.15,2,16.32917177
10,15,30,67,0,1.4,92.18,1,6.28773869
10,16,0,53,37,1.1,93.27,0,5.443176895
10,16,30,20,0,0.9,93.31,0,1.87695755
10,17,0,0,0,0.8,96.3,0,0.0
10,17,30,0,0,0.7,96.35,0,0.0
10,18,0,0,0,0.6,93.45,0,0.0
10,18,30,0,0,0.6,93.49,0,0.0
10,19,0,0,0,0.6,97.76,-1,0.0
10,19,30,0,0,0.6,97.78,-1,0.0
10,20,0,0,0,0.7,95.36,-1,0.0
10,20,30,0,0,0.7,95.38,-1,0.0
10,21,0,0,0,0.7,99.12,-2,0.0
10,21,30,0,0,0.7,99.13,-2,0.0
10,22,0,0,0,0.8,94.89,-3,0.0
10,22,30,0,0,0.8,94.89,-3,0.0
10,23,0,0,0,0.9,97.69,-3,0.0
10,23,30,0,0,0.9,97.69,-3,0.0
11,0,0,0,0,1.0,93.54,-4,0.0
11,0,30,0,0,0.9,93.55,-4,0.0
11,1,0,0,0,0.9,97.65,-4,0.0
11,1,30,0,0,0.8,97.65,-4,0.0
11,2,0,0,0,0.8,94.87,-4,0.0
11,2,30,0,0,0.7,94.85,-4,0.0
11,3,0,0,0,0.7,92.02,-4,0.0
11,3,30,0,0,0.7,92.02,-4,0.0
11,4,0,0,0,0.7,89.57,-4,0.0
11,4,30,0,0,0.6,89.59,-4,0.0
11,5,0,0,0,0.6,87.47,-4,0.0
11,5,30,0,0,0.5,87.48,-4,0.0
11,6,0,0,0,0.5,85.53,-4,0.0
11,6,30,0,0,0.4,85.54,-4,0.0
11,7,0,0,0,0.4,84.33,-4,0.0
11,7,30,0,0,0.4,78.19,-3,0.0
11,8,0,13,0,0.5,80.43,-3,1.220062631
11,8,30,28,0,0.3,74.61,-2,2.627798327
11,9,0,55,0,0.2,76.44,-1,5.161689988
11,9,30,38,0,0.5,70.98,0,3.566219345
11,10,0,147,31,0.9,70.48,0,14.92181252
